구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
,혼밥하기 편하고 볶음밥보다는 분짜가 역시 맛있네요 ㅎㅎㅎ 분짜포레버♡ 입니다~~~ 특히 다른데보다 생고추 빻아놓은 것과 땅콩가루가 아닌 땅콩을 그대로 줘서 씹는 맛이 있어 넘 좋아요^^*,,,,,굿,,무더운 날 보신제대로 했습니다 잘먹었습니다 ㅎㅎ,,건강하게 맛있게 먹을수 있어서 좋습니다,,친절해요 맛있어요 좋아요,
,좋아요,,,,,굿,,"주말에 신촌에서 밥 맛있게 잘 먹었어요??
친절하게 응대해주셔서 기분좋게 식사했어요~~",,맛있어요~~~~!!!! :):),,"돌판오제볶음 매콤하고 양파 및 야채들 신선하고 맛 있어요
강추 입니다.",
,굿,,,,,맛있었는데 다른 지점에 비해 감튀 적게 줘요,,또 재 방문 의사 있으며 맛있어요!!!,,24시간이라 너무 좋습니다ㅠㅠ 9시만 되도 건강하게 먹을 곳이 없는데 감사합니다!! 신선하고 맛있어요!!,,신촌에서 접근성이 좋아요 분위기도 좋구 양도 많고 음식도 맛있어요 다음에 또 방문할게요,
,맛있어요,,,,,매장 직원분들이 마스크 착용을 제대로 하지 않는 시간이 매우 많았습니다. 코를 제대로 가리지 않고 입만 가리거나 입도 가리지 않는 상황이 많았습니다. 물을 마시거나 하는 등에 잠깐 빠르게 내리고 다시 바로 올리는 경우면 이해하겠으나 불필요한 시간에도 마스크를 정확하게 착용하지 않고 일을 하는 모습이 자주 보여서 불편했습니다,,,,맛있어용,,,
,,,,,,맛있어요,,국물 담백하구 넘 맛있어용 가게도 기엽고 떡사리 맛있어요!!!,,치킨커리 넘 맛있어요 ㅎㅎ 최근 리모델링 해서 깨끗해지고 재오픈하길 목빠져라 기다렸어요.. 신촌에서 신선한 채소가 먹고싶다면 추천 입니다,,"4가지 메뉴를 다양하게 먹었던 오적회관 신촌점
오징어해장탕도 궁금해서 재방문해야겠어요

셀프바 밑반찬 대박이고 여럿이 가서 꼭 볶음밥까지 클리어해야하는 곳

깔끔하게 맛있는 맛


-업체로부터 식사권 일부를 지원받아 작성되었습니다-",
,굿,,,,,굿,,닭한마리와 새콤한 시그니처소스가 잘 어울려요,,매장 리모델링해서 깨끗하고 직원분들도 친절하시네요 :),,"오적회관처음 먹어봤는데 너무 탁월한 선택이었어요
양념도 너무 맛나고 오징어도 쫀득하니 취저였답니다!
함께간 친구도 엄지척!!!! 리필코너 너무 좋아용~♡",
,굳,,,,,"학생때부터 줄곧 방문하던 치킨집이에요.
맛있어요??",,"동대문 닭한마리를 맛있게 먹은 기억이 있어 들린 곳인데요,
봄보신하고 싶은 날 가기에도 좋고
가족과 친구들과 가기에도 좋은 유닭스토리에요.
닭한마리에 포슬포슬한 감자, 떡사리까지
정말 맛있어요.
기대 이상으로 맛있게 먹었네요.^^",,프레퍼스 진짜 맛있어요,,넘나 맛있고 친절하세요!! 단골예약합니다^^,
,리모델링하고 첨 가는데 껌띠코가 없어졌어요 새로운 볶음밥보다 그게 더 맛있어요,,,,,굿,,항상 너무 맛있게 먹고 갑니다?? 더운 날에도 생각나서 오는 집!,,저녁 메뉴 고민될때 자주 오는 프레퍼스~~~ 맛있어요!,,음식이 맛있고 푸짐해요!,
,"맘맘테이블 초창기때부터 다녔습니다
처음 오픈했을때에 비해 들어가는 재료양이나 면이 달라져서 아쉽습니당",,,,,조아요,,닭이 푸짐하고 빨리 나와서 좋아요,,학교 끝나고 매번 먹어요!,,"넘 맛있어서 정신없이 먹었어요
이집 대박이넹~~또 오겠습니다^^",
,분짜맛집입니다 가성비 맛 양 모두 다 고려할 때 최고라고 할수 있어요 야채 고기 다 신선하고 소스가 넘 맛있어요 ♡ 주기적으로 가서 먹는 맛집이예요~,,,,,좋아요,,맛집!!!추천!!!!!,,친절하시고 저렴하고 맛있어요,,"여기 진짜 너무 맛있었음 ㅠ
진짜 체고
또 갈게요 사장님",
,,,,,,좋아요,,"지인이랑 방문해서 맛있게 먹었네용
칼국수, 닭죽으로 마무리~",,항상 맛있는 곳.,,소주한잔 할수밖에없는 돌판오징어와 꽃삼겹수육맛집..?양도 푸짐하고 반찬들도 다양해서 여러 조합으로 먹을수있어서 좋았고 직원분들이 너무 밝고 친절하셨어요! 오징어랑 수육같이 쌈싸먹으면 존맛..??매장도 넓고 청결해서 회식이나 단체모임으로도 제격일듯해요! 가성비도 좋고 다양한 구성인 오적한상 완전 추천합니다!!,
,여기 분짜가 최고에요,,,,,좋아요,,,,탄단지를 골고루 챙겨먹을 수 있는 곳,,"맛있다고 추천받아서 방문했습니다!! 사진은
못찍었는데 오징어제육 너무 맛있어여 ㅠㅠㅠ
기대하고 갔는데 한입 먹자마자 데려간 친구한테 당당해졌어요??
오징어가 실하고 양념이 푹 배인 제육이랑 싱싱한 쌈에 싸먹으면 조합이 진짜 미쳐써여 ♥? ♥?
조만간 무조건 또 가게 될거같은곳!!",
,제가 알고 있는 흔한 쌀국수 맛이 아닌 정말 맛있고 똠양꿍 쌀국수도 짜조도 훌륭해요,,,,,좋아요,,좋아요,,맛은 있어요 ! 리모델링해서 전에 조금 더럽다 느낀 부분은 사라지긴했습니다! 상이 더럽다하니 닦아준것도 너무 좋았어요...ㅠㅠ 행주 냄새가 좀 심해서 퀘퀘한 냄새 조금만 신경써주시면 좋을것 같습니다!! 맛은 정말 좋아요! 새 메뉴도 좋은것같습니다!,,사장님 친절하시고 음식이 너무 맛있습니다,
,맛있어요,,,,,굿,,"와 2번째 오는데 미쳤어요. 무엇보다 국물 맛이
크으으으 쥑여요. 근데 닭죽도 장난아닙니다 또올거에요!!!!",,샐러드 원래 잘 안먹는데 뭔가 여기는 맛있어보여서 예전부터 가보고싶었는대 드디어 와봤어용 진짜 맛있고 건강해지는 기분 최고에요! 그리고 너무 친절하시고 매장이 깨끗해서 또 방문할거같아요!!,,"3명이 오적한상 먹었어요!
3인이 먹기에도 충분해요~ 4인이 드시면 칼국수 사리나 볶음밥까지 드시면 딱 맞으실 것 같아요~

? 돌판오징어 2인 + 꽃삼겹수육 소 + 오징어무침 + 오징어튀김 반접시 = 71000원 구성인데,
오적한상 세트로 시키면 무려 9천원 할인되서 62,000원이네요!!

? 매장이 넓고 깨끗하고 인테리어도 깔끔하고 의자도 편해서 가족 모임이나 단체 회식으로도 좋을 것 같아요~

? 수육은 얇고 부드러운데 따뜻하게 데워서 계속 야들야들하게 먹을 수 있었고, 묵은지랑 오징어무침하고 먹으니 기가 막히네요.

? 오징어튀김하고 오징어볶음도 오징어가커서 식감이 쫄깃한게 씹는 맛이 좋았어요. 오징어볶음은 많이 맵지않은데 감칠맛이 좋아서 남녀노소 호불호 없을 맛이에요.",
,좋아요,,,,,좋아요,,"너무 맛있어요 !!! 볶음밥까지 필수
2명이서 2인분도 배터져요",,프레퍼스 단골인데 공사중이라 기다리고있었는데 재오픈하고 드디어 왔어요! 여전히 맛있고 전보다 매장이 더 쾌적해져서 좋아요~!,,"끝내주는 한상이었어요! 오징어파티~~!
오통통한 오징어를 볶아먹고 무쳐먹고 튀겨먹구~~ ㅎ
오징어라서 속도 편하고 너무 맛있었어요! 다양하게 먹을 수있어서 좋았고 셀프바가 있어서 야채도 부담없이 리필이 되서 좋았어요 매장도 너무 깔끔해서 식사하는 내내 쾌적했어요~
주변에 추천할 만한 신촌맛집인거 같아요",
,국,,,,,양 많고 맛있어요~~!,,사실 왜 평점이 이렇게 좋은지 모르겠어요.. 그냥 웬만한 닭한마리집보다 부실하고 사리도 다 추가해서 먹어야되는게 잘 이해가 안되네요. 그렇다고 육수 맛도 그렇게 뛰어난것도 아니고. 소스는 나름 별미였어요.,,자주 오는 맛집이에요. 24시간이고 가격도 상당히 저렴해서 좋아요. 배달로도 자주 시켜먹는데 이번에 매장 내부 리모델링해서 내부도 더 깔끔해졌어요!,,시그니쳐 메뉴인 오적한상을 먹었는데 양이 엄청 푸짐하고 다채로운 여러가지 음식을 다양하게 먹을 수 있어서 너무조아요,
,너무 맛있어요 최고 !!!,,,,,언제먹어도 맛있고 양많은 아웃닭~~~~ 네이버 전화 연결이 안되서 아쉬웠어요ㅠㅠ,,중복엔 닭한마리죠 맛있습니다. ??,,이번에 그릭요거트에 블루베리 시켜서 먹는데 맛도 좋고 단백질도 많아서 먹기 좋아요! 다이어트 하시는분들 와서 아침에 가볍게라도 그릭요거트 먹어보세요????????????,,"부모님이랑 오전한상 먹고왔어요!
정말 푸짐하고 반찬도 많이 나와서
가성비 너무 좋은것 같아요!
맛도 있고 셀프바도 있어서 좋았습니다 ㅎㅎ 다음에 또 방문할게요 ????????",
,여기 진짜 맛있어요 양도 많고 가성비 대박,,,,,좋아요,,맛있어요~,,"생각보다 화려해서 놀램
혼밥하기도 좋음",,신촌에 놀러갔다가 새로생긴 오적회관에 다녀왔어요. 오적한상 세트메뉴로 3명이서 먹었는데 배터질듯하게 맛나게 먹고왔어요 새로 생겨서 매장도 깔끔하고 직원분들도 친절해요 가족모임이나 단체회식하기에 좋아보이고 후식으로 아이스아메리카노도 있으니 한번 가보시길 바래요. 맛있게 잘 먹었습니다.,
,위치 이전하고는 처음인데 넓어져서 좋았어요. 가성비 좋지만 예전보다는 조금 아쉬운 맛이었습니다..,,,,,맛나요,,"신촌 왔다가 들렀어요
국밥도 먹고싶고 칼국수도 먹고싶고 시원한것도 먹고싶다 가족들 의견이 분분했는데
모두의 니즈 충족ㅎ했네요^^
맛있게 먹었습니다!",,리뉴얼되고 깨끗해져서 좋아요??,,"여기 어마무시합니다 오징어 금값인데 진짜 크고 두툼하게 썰어서 볶음으로 나오고, 수육도 양 진짜 많이 나와요 친정 엄마 모시고 갔는데 어머니께서 정말 좋아하셨어요 강추해요!",
,굿,,,,,좋아요,,재료소진 이슈로 헛걸음했던 적이 있는데 오늘은 바로 입장해서 완전 맛있게 먹었어용 홀에 계신 이모들이 친절하진 않아서 그건 좀 아쉽 ㅜ,,마딛듬????,,"맥주와 찰떡궁합인 불치즈오징어돌솥 정말 맛있었어요!
꼭 볶음밥도 볶아서 드세요 ♥

나중에는 오제에 치즈 추가해볼려구요!!",
,베트남사람이라 수준 높은편이지만 여기 맛있네요~ 특히 매운쌀국수 맘에 들었어요,,,,,굿,,초계국수랑 칼국수 먹었어요 ! 바로 입장가능했고 빠르게 나왔습니다. 맛있었어요,,정말 맛있습니다!,,"다양한 오징어요리와 야들야들한 수육을 같이 즐길 수 있어서 너무 좋아용.
국물이필수인데 백합탕과의 조합도 좋네요
가족모임 회식 데이트 하기에도 좋고 점심식사도 되는데 점심엔 공기밥도 무한이라 더 좋은 것 같아요
오징어도 신선해서 튀김,무침, 볶음 다 맛있어요",
,맛있어요,,,,,굳,,얼큰 시켰는데 시원하니 맛있어요!,,"리뉴얼하고 처음 왔어요
매장분위기도 좋고 깔끔하구 재오픈하기 기다렸어요~
잘먹겠숩니다~",,"으른들의 입맛저격!
정잔으로 푸짐하게 맛보는 매콤 쫄깃 오징어 볶음에 맛깔난 오징어 무침, 바삭한 오징어 튀김까지 오징어 풀코스에 촉촉 보들 한 냄새 1도 없는 담백한 보쌈까지 완벽한 한상이 차려지는 오적세트

간이 강하지 않아서 계속 먹어도 질림이 없구 단백질 가득해서 든든하기까지! 셀프코너도 이용이 가능해 반찬도 푸짐하게 끝까지 즐길 수 있어 모임이나 회식장소로도 그만인 신촌맛집!
온가족 외식으로도 그만이니 추천 할 수 밖에^^",
,긋,,,,,맛있어욤!,,맛있어요~~,,운동후 밖에서 식사할 때 항상 오는 곳이에요ㅜ메뉴에 단백질 함량도 표시되어 있어서 운동인 분들에게 강 추 합니다ㅔ,,"새로 오픈해서 소주1 또는 맥주1병 무료
행사하고 매장도 깨끗해요~
맛있게 매콤하고 셀프바에 야채도 신선합니다??
냉콩나물국과 소세지로 메인나오기전에 이미한병??",
,굿,,,,,후라이드 짱 맛이써요!,,치즈닭갈비도 있어서 너무 좋아요~~ 양도 푸짐하고 사장님도 친절하십니다!!,,"리뉴얼 되고 와봤는데 역시나 맛있네요
맛이 무언가 좀더 깔끔해진거 같아요",,소스가 완전 맛있음,
,굿,,,,,맛있어요~~,,종로보다 맛있는 것 같아요 특히 닭죽이 넘넘 맛있어요!!,,맛있어요,,메뉴도 깔끔하고 셀프바도 관리가 너무 잘돼있습니다 맛있어요!,
,맛있어요,,,,,좋아요,,아이와 신촌 나들이 왔다가 너무 배고파 아무 집이나 딱! 들어왔는데 어머나 연예인이 엄처엉~~~~많이 온 맛집이네요 시원한 초계국수 잘 먹고 갑니다!! 아이도 맛있게 먹었어요 강추!!????,,프레퍼스 역에서 가깝고 항상 맛있어요!!,,여기 돌판오징어 진짜 존맛탱ㅋㅋㄱ매콤하고 달콤한 맛이 밥에 비벼먹으니 진짜 꿀맛!! 오징어들도 진짜 부드럽고 너무 맛있더라구요. 오늘 먹고왔는데 또 먹으러 가고 싶네요. 가게 인테리어도 너무 이쁘고 아기자기하니 여자분들이 좋아하실 스타일이라 데이트 장소로도 넘나 좋은 것 같아요. 밑반찬들도 맛있고 셀빠도 있궁! 신선한채소 열심히 먹었네요. 커피까지 있어서 마무리까지 완벽했어요. 진짜 대만족!! 후회없는맛!! 존맛탱입니다,
,긋,,,,,맛있어요,,"이야 씨 .... 이거야 이거 이집이 맛집이야
학생들도 많이오고 소문난 맛집이라 그런가 사장누님도 호탕하십니다!!
왜 김경호가 달려왔는지 알거같아요??",,"프레퍼스 평소에 자주 와서 방문했어요 !!
파스타 맛집 + 단백질 맛집 !! 또 옹게요 ????",,"신촌역맛집 오적회관 방문후기예요
메인메뉴이며 시그니처메뉴인 오적한상을 먹었는데요
푸짐하고 가성비좋은 메뉴였어요
돌판오징어볶음에 밥 비벼 먹어도 맛있고 꽃삼겹수육에
오징어초무침 곁들여 먹어도 맛있어요
4가지 음식의 조화가 꽤 잘 어울리는 조합이었어요",
,쌀국수랑 짜조 맛있어요,,,,,"친구는 순살 후라이드에 비린내가,,, 저는 양념순살에서 비린맛이 느껴졌어요ㅠㅠ 나머지 간장이랑 마늘 치킨은 맛있었어요ㅠ",,"신촌 맛집 유닭스토리
어제 중복 그냥 지나쳐서
오늘 친구랑 아이랑 닭한마리 먹으러
방문했어요 블루리본 단 닭한마리라니 ㅎ
개인적으로 닭한마리집 김치 완전 밍밍
물김치면 별로인데 양념있는 김치고
다대기 야채 소스조합도 완전 제 취향 ..
닭한마리집 여기로 정착해야겠어요",,든든한 한끼로 넘 좋아요 다이어트 중인데 부담없이 즐길수 있습니다~,,재방문의사 50000%%,
,완전완전맛있쪙,,,,,맛잇어요,,"직원분들도 너무 친절하시고
음식도 너무 깔끔해요??",,맛있어요ㅎㅎ,,"오적회관 개뿌수고 왔숩니다...????????
개존맛 미친맛 신촌에 단체모임하기 너무나 성공??????
오적한상 + 백합탕 + 수육추가+ 골뱅이무침 + 사리추가까지 아주 야무지게 했습니다!!!!!
사장님 음식 너무 다 맛있어서 신촌 모임할 때 또 올게오! 잘 먹었습니다 ??",
,면 추가 좋아요,,,,,믿고 먹는 아웃닭,,"건강하고 닭도 야들야들 하구 무엇보다 죽 칼국수까지 넘 맛있어요!
1년만에 방문했는데 다음에 또 올게요??",,"아이가 너무 좋아해서 이쪽 지나다닐때 항상 들러요
가성비 좋고 맛있어요 :)",,"심한 감기몸살로 체력이 떨어진 동생을 위해 몸보신겸 신촌역 점심맛집 오적회관 방문했어요?? 오적한상 주문했는데 돌판오징어볶음, 꽃삼겹수육 작은거, 오징어튀김 반접시, 오징어초무침과 묵은지김치까지 한상 푸짐하게 차려져서 감동스러우면서도 과연 둘이서 다 먹을 수 있을까 싶었고 입이 떠억- 벌어질 정도였어요?? 물론 양만 많은게 아니라, 음식 하나하나 재료가 신선하면서 맛깔나서 젓가락질을 멈출 수가 없었어요?? 단체모임하기에 가성비 참 좋은곳이고, 부모님 모시고 오기에도 제격이랍니다??
셀프바가 있어서 점심시간 2시까지는 365일 공기밥 무제한이고 숭늉, 콩나물냉국, 쌈채소, 반찬들도 맘껏 먹을 수 있는 혜자맛집이니까 한번 방문하면 무조건 단골각입니다?? 사장님과 직원분도 친절 그 잡채~ 또 올께용??",
,굿,,,,,좋아요,,담백하고 너무 맛있어요 동생이랑 보양식 먹으러 왔는데 뜨끈하니 너무 좋습니다 맛집인 이유가 있어요????,,맛있어요,,"사장님께서 오징어에 정말 진심이신게 아닐까 싶을 정도의 대단한 오징어 퀄리티에 감동했어요,,?? 지금까지 먹은 오징어중에서 제일 맛있었어요!!! 오징어볶음, 무침 종류 상관없이 양념도 참 맛있더라고요. 식사로도 손색이 없고, 술 한잔하기에도 이만한 곳이 없는 것 같아요??",
,맛있어요,,,,,맛있어용,,사장님 너무너무 친절하시고 닭한마리 다른데보다 훨씬 더 맛있는거 같아요!! 다음에 또 올게요~~,,항상 먹는거지만 종류도 많고 양도 좋아서 안질리고 먹습니다~,,오징어가!!! 이렇게!!! 많이 들어가다니!!! 오적한상이라길래 얼마나 있겠어- 싶었는데 진짜 많기도 하고 무엇보다 엄청 토실하고 쫀딕하더라구요 :) 같이 나왔던 튀김이랑 수육도 느므 맛났습니다 ??,
,면 추가되는게 좋아요!,,,,,,,잘먹다 갑니다,,가성비도 너무 좋고 특히 커리가 너뮤 맛잇어요!! 다이어트하기에 너무 좋아용????,,아주 맛있어요!!!,
,분짜와 똠양꿍쌀국수 맛있었어요^^,,,,,좋아요,,"늘 여자친구와 신촌 오면 먹는 맛집
닭한마리집이 여러곳이 있지만 얼큰한 맛이
땡기는 날에는 유닭스토리만 갑니다!",,"처음 와봤는데 너무 맛있어요~
양도 많고 야채도 너무 맛있었어요
다음에 또 올게요~~",,"아이와 함께 방문했는데, 매장이 청결하고, 음식도 양이 많고 맛있었습니다.
셀프바도 이용하기 편리했습니다.

잘먹고 갑니다.",
,"짜조랑 쌀국수 다 맛있어요 ㅎㅎ
고수는 따로 얘기하면 주네요",,,,,여윽시 아웃닭!,,"양도 많고 맛있고 사장님이랑 직원분들도 친절하새요
다음에 또방문할게요",,단백질이함량이높아서 건강식이에요,,"오적회관 처음 방문했는데 맛있네요!
오징어 볶음도 양념이 너무 맛있어서 이것만으로도 밥 몇그릇은 먹을수있을것같아요ㅜㅜㅜ
그리고 오징어 튀김은 바삭하니 맛있고..
오적한상 3명 이상 먹는 메뉴라고 하는데
둘이가서 다 먹을정도로 맛있었어요.. ??
오징어 초무침도 새콤달콤 하니 맛있고
셀프바에 콩나물냉국있는것도 최고!",
,양많고 친절하고 맛있어요,,,,,맛있었어용! 역시 아웃닭 짱짱,,맛있어요!!,,가성비좋고맛잇어요,,맛있고 깔끔했습니다 ㅎㅎ,
,굿굿,,,,,캔콜라인데...근데 왜 탄산이 없죠,,너무 맛있어요 자주 올 것 같아요!!,,가볍게 식사하기 좋아요,,"오적한상 모임 메뉴로 너무 좋았네요! 푸짐하게 한상 먹을 수 있기도 하고, 셀프로 추가로 필요한 것들을 이용할 수도 있으니 진짜 양껏 먹을 수 있는데요. 오적한상은 여성4명이서는 기본 나오는 것만 먹어도 배가 불러서 못 먹을 정도였어요. 개인적인 양 차이가 있을 수 있겠지만, 푸짐하게 다양한 메뉴를 함께 먹을 수 있는 메뉴라 너무 맘에 든 메뉴였어요.",
,굿,,,,,맛있어요~,,닭한마리가 너무 먹고싶어서 처음 먹어봤는데 맛있었어요!,,건강하고 맛있아요??,,"오픈한지 얼마 안된거 같아요
입구는 생각보다 작던데 매장은 반대로 엄청 크더라고요!!
8가지 찬이 무료리필이고 밥도 무한리필..
남는게 있나요??

말도 안돼는 사실 하나 더 쌈채소까지 배부르게 먹었던 곳이에요
다음에도 또 올려고 해요!!",
,가게 이전하고 처음 와봤는데 여전히 맛있네요,,,,,양이 많아요~=,,"아주 깔끔한 닭한마리 잘 먹고 갑니다~~
더 대박나세요~",,맛있음,,"오징어요리 전문점 오적회관이 신촌에 새로 오픈해서 반가왔어요. 식당이 넘 깔끔하고 쾌적해서 모임하기 좋구요
오징어튀김 초무침 꽃보쌈 돌판오징어볶음 한상 푸짐하고 맛있습니다 신촌모임장소 추천해요",
,맛있어욤,,,,,아웃닭 말해뭐해~,,,,리뉴얼하고 첫 재방문인데 여전히 넘 맛있어요!!,,,
,"분짜맛있어요! 상콤ㅎㅎ
요새 물가가많이올라서 이정도면 가성비있는듯요",,,,,먹다가 울거같은 맛이에요!! 사랑합니다??,,"오자마자 허겁지겁 먹다보니깐 사진을 못찍었는데
6명에서 넓은 자리에 편하게 앉고 2-3 나눠서 시켜서 먹었는데 개인적으로 맑은국물이 더 좋은건 안비밀!
양이면 양 맛이면 맛 처음와본 집인데 리뷰가 좋은집은 항상 이유가 있네용!
처음에는 가볍게 국물로시작해 떡사리와 닭이 너무맛있고!
칼국수 사리 , 수제비 사리 무조건 !! 시켜야됩니다!
마무리는 닭죽까지 행복한 식사타임!
이모님도 진짜 재미있게 대해주셔서 행복하게 식사하고 갑니다!
다시 재방문의사 100프로 입니다!",,개마싯쉉열,,,
,맛있어용,,,,,늘 사람이 많아요,,육수가 너무 맛있어요~ 닭먹다가 마지막에 먹은 죽도 진짜 맛있어요! 여름이라 사람들이 초계국수를 많이 먹던데 다음에 그거먹으러 또 올거에요!!,,,,,
,뜨끈하니 맛있어요（???）,,,,,가성비짱,,맛있어용!!!!!!!!!,,맛있어요,,,
,맛있어요,,,,,맛있어요,,국물이 시원하니 맛있어요~,,맛있어용,,,
,면추가되고 배부르게 먹엇어여,,,,,치킨 넘 맛있었어요 재방문 의사 만땅이요??,,최애 신촌맛집 오랜만에 왔는데 맛이 그대로네요 닭한마리 오랜만에 막있게 먹었습니다! 소스도 그대로 최고에요!,,신선하고 맛있어요,,,
,"신촌생활 10년차 제일 좋아하는 식당인데요... 분짜에서 머리카락이 두개나 나왔어요...ㅠㅠ 바로 바꿔주시신 했지만 좀 찝찝해요...
지금까지 이런적 없었는데...
신경좀 써주세요ㅠㅠ 제 최애맛집이라고 주변사람들 한번씩 데려가는데ㅠㅠ
사장님 정말 청결에 더 신경써주세요. 요즘 시국에ㅠㅠ",,,,,굳,,맛있고 양도 넉넉하고 직원이모가 바쁜데 너무 친절해서 더더 즐거운 식사시간었습니다!!,,매장이 깨끗하고 맛있어요,,,
,"맛있게 잘 먹었어여…
양도 넉넉하고요 ㅎ",,,,,너무 맛잇어요,,"맛있는 닭한마리

맛있어서 계속 옵니다요",,맛있어용,,,
,분깐조 맛있어요! 얼큰하니 계속 생각나는 맛입니다,,,,,굿,,맛있고 매장도 넓어서 좋아요 이모님 친절해요~??,,맛있어요????,,,
,이전 후 공간은 더 넓어졌어요. 쌀국수 맛있습니다.,,,,,좋아요,,"넘 맛있어용 ㅎㅎ 완전 소주 안주로 제격!!!
이모님도 너무 친숙하시고 너무 재밌어욬ㅋㅋㅋㅋ 완전 친절해용??????신촌오면 다음에 또 올게용??♥?",,운동 후 득근!,,,
,맛있어요 최고 !!!,,,,,마싯어요,,"신촌역 핫플레이 장소를 소개 해봅니다 20분 차이 꽉 찼어요 초복에 삼계탕 드셨나요 신촌역 유닭스토리 닭한마리 무더운 여름을 극복 장소 한국인 뿐만 아니라 지구촌 입맛을 사로 잡는 곳 금방 웨이팅 기다림으로 닭 한마리 닭 칼국수,닭계장 30년 전통의 맛 피큐어 장식 꾸여 있는 연예인 많이 찾아 오는 곳 ..

블루리본서베이 인정 받은 추천 식당 '유닭 닭한마리'
#신촌역추천
#유닭스토리
#닭한마리추천
#신촌역단체추천
#연세대추천식당
#세브란스병원추천",,진짜 맛잇고 금방 나와용,,,
,ㅎㅎ,,,,,반반순살 후라이드4조각 양념4조각 너무 작음,,너무 맛있어용 하얀 닭한마리 말고 빨간거 먹고싶었는데 최고에용????,,면추가하면 개꿀~~~,,,
,와 진짜 너무 맛있네용,,,,,"맛도 좋고 직원도 친절해요
양도 많아요",,맛도 맜있고 양도 푸짐해요??,,재오픈하고 매장 훨씬 깔끔하고 좋아요 배달로 많이 시켜드시는 것 같음 ㅎㅎ 커리 먹고싶어서 방문했는데 매콤 달달? 맛있었습니다 건강하게 먹고 싶을 때 종종 들러요!,,,
,음식이 맛있어요. 담에 또 가고싶군요,,,,,좋아요,,맛있고 괜찮네요,,맛있어요~~,,,
,맛있고 넓어져서 좋아요!,,,,,믿고 먹는 아웃닭이예요 순살 존맛... 근데 테이블 간격이 너무 좁고 어둡고 덥고 환기도 안시켜서 이시국에 좀 걱정됐어요,,비오는날엔 국물이랑 같이 닭한마리! 언제와도 존맛이에요ㅠ,,건강하게 혼밥할 수 있는 장소 있어서 너무 좋아용 명이나물 덮밥 먹었는데 깔끔하구 맛있었어요!! 앞으로도 간단하게 밥먹으러 자주 올 것 같아요 ??????,,,
,저렴하고 양도 많고 맛있어요!! 근데 먹다가 야채에 달팽이 똥 같은 검은 게 묻어 있어서 입맛이 좀 떨어졌네요 ㅠㅠ 그것 빼곤 괜찮았습니다,,,,,맛있어요! 감자튀김이랑 해서 양이 많아서 좋아요,,닭한마리 즐겨 먹는데 유닭스토리가 제일 맛있어요!! 항상 맛있게 잘 먹고 있습니다 :),,가성비최고!다이어트최고!,,,
,분짜 정말 맛있었어요!,,,,,ㆍ,,"초복이라 무슨 닭을 먹을까 하다가 밥이랑 같이 먹고 싶어서 또다시 방문했습니다~
점심 시간 조금 지나서 오니까 여유롭고 좋네요 ㅎㅎ",,맛있어요 깔끔,,,
,맛있는데 매장이 겁나 더움,,,,,양많고 소스가 많아서 후라이드 시키면 좋아요,,"국물이 진짜 깔끔하고 맛나요.
인테리어가 좀 독특한데 ㅋㅋ
나름 분위기가 대학가느낌이라 좋긴해요 ㅎㅎ",,자주 애용해요 맛있어요!!,,,
,현지인분들이 하는 곳이라 그런지 정말 맛있어요!,,,,,좋아요ㅡ,,"복날 지나서 왔는데도 손님이 많네요
저 원래 삼계탕이든 고기종류를 잘 못먹어서 큰 결심하고 도전한건데 넘 맛있네요..
폭풍흡입하고 칼국수까지 시켜서 먹고있어요
양도 푸짐하고 양배추소스에 넣어 몇 접시째인지..진짜 맛있어요??",,"믿고 먹는 프레퍼스!
매장이 2층까지 있어서 좋아요!!
직원분들 친절하신것도 넘 좋아용!!",,,
,맛싯슴,,,,,너무너무 맛있어요~~,,굿,,매장이 넓고 깨끗해요!!! 음식도 맛있습니다!,,,
,좋아요,,,,,맛있어오,,매장이 넓고 쾌적하고 국물이 아주 맛있다. 직원들도 친절하시다.,,맛있어여,,,
,굿,,,,,분위기 좋고 치킨 맛있어요 !,,"초복엔 역시 유닭스토리 닭한마리!!
몇년째 단골이지만 언제 먹어도 마싯습니다
최고!!!!????",,다이어터분들에게 잘 짜여진 식단으로 추천해요!,,,
,너무맛있어요!!! 여기 분짜 최고...??,,,,,맛있어요,,"블루리본 맛집♡
엄마가 더 좋아하는 집이에요!",,맛잇서용,,,
,좋아요,,,,,최애치킨집중 하나입니다!,,"술먹고 난 다음날이여서 국물 맛이 너무 좋았습니다.

닭에 잡내가 전혀 없고 부드럽습니다.

양배추들은 신선하여 아삭거리는 식감이 좋습니다",,양도 푸짐하고 맛있네요!,,,
,굿,,,,,:),,"슴슴하면서 깊은 맛이 나는 진짜 맛집
신촌 맛집 리스트 추가
별거없어보이면서 깊은게 평냉같다가
쫄여질수록 찐한 국물과 양념의 조합이 기가막힘
게다가 다먹고 먹는 칼국수와 죽이 매우 별미
굿",,꿀맛,,,
,맛있어요,,,,,평소 좋아하고 자주 가는 곳인데 어제는 너무 시끄럽고 감자튀김도 눅눅하고 치즈가루도 안뿌려져 있고 좀 실망했네요,,,,맛있어요!,,,
